CountryShort ;Year;  ValueNumeric   ;Unit;Market_Sector;Data_source ;Date ;;;Notes:;Data until 2020 are calculated on the basis of Directive 2009/28/EC, while data for 2021 follow Directive (EU) 2018/2001.;;;;;2011-2012 average;2013-2014 average;2015-2016 average;2017-2018 average;S2005 (1);"
2011-2012";"indicative
2013-2014";"
2015-2016";"trajectory
2017-2018";2020 target;;;;;;;;
PT;2022;0,594347873;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
RO;2022;0,445451852;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
SI;2022;0,369231529;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
SK;2022;0,228306268;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
FI;2022;0,428814617;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
SE;2022;0,816287601;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
IS;2022;1,008680252;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
NO;2022;1,21880547;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
ME;2022;0,629249823;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
RS;2022;0,298321271;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
AL;2022;1,057597364;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
MK;2022;0,21452239;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
XK;2022;0,063608756;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
MD;2022;0,048296172;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
GE;2022;0,714756541;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
EU27;2022;0,231750224;%;Heating and Cooling;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
